name,address,latitude,longitude,category,avg_rating,num_of_reviews,price,state,url,main_category
Sweet Traders,"Sweet Traders, 5362 Oceanus Dr unit c, Huntington Beach, CA 92649",33.742244,-118.035693,"Wedding bakery, Bakery, Chocolate shop, Dessert shop, Gift basket store",4.6,18,low,closed_temp,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80dd25f17eb1be7d:0xdb84dfaf0658e417?authuser=-1&hl=en&gl=us,Wedding bakery
Long Beach Bread Lab,"Long Beach Bread Lab, 2801 Atlantic Ave, Long Beach, CA 90806",33.8083605,-118.1873236,Bakery,4.5,8,low,closed_temp,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80dd33381e1a114f:0x1a8e996c904cbca7?authuser=-1&hl=en&gl=us,Bakery
Cinnabon,"Cinnabon, 6041 Sunrise Blvd, Citrus Heights, CA 95610",38.6756427,-121.2688732,"Bakery, Coffee store, Pastry shop",2.8,8,low,permanently_closed,https://www.google.com/maps/place//data=!4m2!3m1!1s0x809ade2407727363:0x6cb49bc8ac7e5da0?authuser=-1&hl=en&gl=us,Bakery
DF Stauffer Biscuit Co Inc,"DF Stauffer Biscuit Co Inc, 4041 W Garry Ave, Santa Ana, CA 92704",33.7062683,-117.9250892,Bakery,3.2,8,low,closed_temp,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80dcd8a7f07aa637:0x748808664751ab03?authuser=-1&hl=en&gl=us,Bakery
Monika's Macarons & Bakery Cafe,"Monika's Macarons & Bakery Cafe, 1127 Broad St Suite A, San Luis Obispo, CA 93401",35.2783816,-120.6643196,Bakery,5.0,6,low,closed_temp,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80ecf1be3cd8d6bd:0xfd06a45b8dacdb13?authuser=-1&hl=en&gl=us,Bakery
7-Eleven,"7-Eleven, 14595 Seventh St, Victorville, CA 92395",34.515995499999995,-117.313051,"Convenience store, Bakery, Beer store, Candy store, Coffee shop, Food products supplier, Gas station, Snack bar, Tobacco shop, Wine store",2.4,28,low,open,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c3643366e3b487:0x15bcb6613d7d3f74?authuser=-1&hl=en&gl=us,Convenience store
Leelin Bakery & Cafe,"Leelin Bakery & Cafe, 16130 Nordhoff St, North Hills, CA 91343",34.2348411,-118.483621,"Filipino restaurant, Bakery",3.6,18,low,permanently_closed,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2909fa8504393:0x1008ce21c59b64c7?authuser=-1&hl=en&gl=us,Filipino restaurant
Menchie's Frozen Yogurt,"Menchie's Frozen Yogurt, 100 Universal City Plaza, Universal City, CA 91608",34.136257,-118.35193,"Frozen yogurt shop, Bakery, Cake shop, Caterer, Dessert restaurant, Dessert shop, Ice cream shop, Kosher restaurant",4.7,7,low,closed_temp,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2bf2d51fac9a3:0x8ba3d4029546e886?authuser=-1&hl=en&gl=us,Frozen yogurt shop
Bake Sale Patti,"Bake Sale Patti, 14791 Pomerado Rd, Poway, CA 92064",32.9800911,-117.0604518,"Bakery, Cafe",4.5,28,low,permanently_closed,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80dbfa0dc6c2e527:0x44b517ad6faf4baf?authuser=-1&hl=en&gl=us,Bakery
Ralphs,"Ralphs, 8510 Painter Ave A, Whittier, CA 90602",33.9606582,-118.0342001,"Supermarket, Bakery, Deli, Florist, Grocery store, Liquor store",1.0,1,medium,permanently_closed,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2d39bf661161f:0xfc156f220915d3ce?authuser=-1&hl=en&gl=us,Supermarket
Wild Wheat Bakery & Cafe,"Wild Wheat Bakery & Cafe, 59 Old Spanish Trail Hwy, Tecopa, CA 92389",35.8483152,-116.2267138,"Bakery, Breakfast restaurant, Cafe, Coffee shop, Lunch restaurant, Restaurant",5.0,6,low,unknown,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c66ff0ef86c9a9:0xbe1be8d3d457cebf?authuser=-1&hl=en&gl=us,Bakery
Shushan Lavash,"Shushan Lavash, 6226 San Fernando Rd, Glendale, CA 91201",34.1640068,-118.2853488,Bakery,4.2,5,low,closed_temp,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2c0123721b3f3:0x3834fcb67c4b2f92?authuser=-1&hl=en&gl=us,Bakery
Bonibi Coffee,"Bonibi Coffee, 32123 Lindero Canyon Rd STE 111, Westlake Village, CA 91361",34.1386624,-118.8230376,"Coffee shop, Bakery, Gift shop, Pastry shop, Tea house",4.8,28,low,closed_temp,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80e82538e483969b:0xb8cf9aec4d482d22?authuser=-1&hl=en&gl=us,Coffee shop
Baby G's Ice Cream Cookies & Cakes,"Baby G's Ice Cream Cookies & Cakes, 243 CA-1, Hermosa Beach, CA 90254",33.8570901,-118.3910533,"Ice cream shop, Bakery, Cake shop",5.0,3,low,permanently_closed,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2b482cc6e958d:0xc6ad55e14964ada1?authuser=-1&hl=en&gl=us,Ice cream shop
Melados,"Melados, 14117 Hubbard St, Sylmar, CA 91342",34.2983698,-118.4410254,"Frozen yogurt shop, Bakery, Coffee shop",4.4,18,low,permanently_closed,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2902cbf366d1b:0x61751216725edea3?authuser=-1&hl=en&gl=us,Frozen yogurt shop
Petal Leaf,"Petal Leaf, 500 Laurelwood Rd STE 13, Santa Clara, CA 95054",37.3807335,-121.9436669,Bakery,4.7,7,low,closed_temp,https://www.google.com/maps/place//data=!4m2!3m1!1s0x808fcb6f1c3f3b1d:0x4afaaecb94518c1b?authuser=-1&hl=en&gl=us,Bakery
Mrs. Fields,"Mrs. Fields, 20700 S Avalon Blvd Ste 430, Carson, CA 90746",33.8439058,-118.2609355,"Bakery, Cake shop, Coffee shop, Cookie shop, Dessert shop",4.4,13,high,closed_temp,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80dd35238bfefe77:0x99e6e6049ab81849?authuser=-1&hl=en&gl=us,Bakery
SPRO,"SPRO, 500 Church St, San Francisco, CA 94114",37.7627973,-122.4286748,"Cafe, Bakery, Coffee shop, Dessert shop, Hamburger restaurant, Restaurant, Salad shop, Sandwich shop",4.9,35,low,closed_temp,https://www.google.com/maps/place//data=!4m2!3m1!1s0x808f7f6366731ebd:0x8f3d832962c9ee77?authuser=-1&hl=en&gl=us,Cafe
Clementine Gourmet Marketplace & Cafe,"Clementine Gourmet Marketplace & Cafe, 72990 El Paseo #3, Palm Desert, CA 92260",33.7203269,-116.3919321,"Mediterranean restaurant, Bakery, Breakfast restaurant, Brunch restaurant, Deli, Espresso bar, Gift shop, Sandwich shop, Tapas bar",4.5,18,low,permanently_closed,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80dafde0490c8391:0x537700e42136f9b5?authuser=-1&hl=en&gl=us,Mediterranean restaurant
Panaderia Michoacan,"Panaderia Michoacan, 3266 Middlefield Rd, Menlo Park, CA 94025",37.4714407,-122.203293,Bakery,4.0,18,low,permanently_closed,https://www.google.com/maps/place//data=!4m2!3m1!1s0x808fa36c0c4195bb:0x67e57806aeb8d8e8?authuser=-1&hl=en&gl=us,Bakery
Champagne,"Champagne, 103 Corte Madera Town Center, Corte Madera, CA 94925",37.9273951,-122.5174376,"Bakery, Cafe, Chocolate shop",3.0,3,low,unknown,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80859a8b9a8fd413:0xda3d0b0dbc438d1a?authuser=-1&hl=en&gl=us,Bakery
Bonnie B Bakery,"Bonnie B Bakery, 6344 Topanga Canyon Blvd, Woodland Hills, CA 91367",34.1861895,-118.6047735,Bakery,4.7,16,low,permanently_closed,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2b770a2d7ada3:0xfa03fea0d47108a8?authuser=-1&hl=en&gl=us,Bakery
L’Amande French Bakery,"L’Amande French Bakery, 9530 S Santa Monica Blvd, Beverly Hills, CA 90210",34.0700839,-118.4048303,"Bakery, Coffee shop, French restaurant",4.5,2,medium,permanently_closed,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2bc08711d4815:0xb6be31ff9d699fa4?authuser=-1&hl=en&gl=us,Bakery
Francois Bakery,"90015 California, Los Angeles, Wall St, Francois Bakery",34.0375099,-118.2534168,Bakery,4.4,16,low,closed_temp,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2c7bb99b6b343:0xba777e94cdc4d334?authuser=-1&hl=en&gl=us,Bakery
Einstein Bros. Bagels,"Einstein Bros. Bagels, 5500 University Sciences Building, San Bernardino, CA 92407",34.1833676,-117.3251213,"Bagel shop, Bakery, Breakfast restaurant, Cafe, Coffee shop",4.3,36,low,open,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c35123629c7e37:0x618390bd15821710?authuser=-1&hl=en&gl=us,Bagel shop
Taste & Sea Cakery,unknown address,33.1215196,-117.287719,"Bakery, Service establishment",4.2,8,low,open,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80dc0cf07e302319:0xbcab140ca4495720?authuser=-1&hl=en&gl=us,Bakery
S & S Donut & Bake Shop,"S & S Donut & Bake Shop, 24266 Lyons Ave, Santa Clarita, CA 91321",34.378231,-118.5595448,Bakery,4.6,26,low,open,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c286c058efe071:0x731b6cf8b2c857b4?authuser=-1&hl=en&gl=us,Bakery
Mrs. Fields & TCBY GreatMall,"Mrs. Fields & TCBY GreatMall, 447 Great Mall Dr Spc #112, Milpitas, CA 95035",37.4165145,-121.898704,"Bakery, Cake shop, Cookie shop, Dessert shop, Frozen yogurt shop, Ice cream shop",3.8,8,high,closed_temp,https://www.google.com/maps/place//data=!4m2!3m1!1s0x808fcec96f32456f:0x10a345f82893befd?authuser=-1&hl=en&gl=us,Bakery
Crumbl Cookies - Glendora,"Crumbl Cookies - Glendora, 1365 E Gladstone St, Glendora, CA 91740",34.1164033,-117.8358673,"Bakery, Cookie shop, Dessert shop",4.8,197,low,closed_temp,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c329e97079dd07:0xbb4c93b0058fbf0d?authuser=-1&hl=en&gl=us,Bakery
Churros SweetStuffTruck,"Churros SweetStuffTruck, 151-199 W Pomona St, Santa Ana, CA 92707",33.7251874,-117.8686171,Bakery,4.9,7,low,closed_temp,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80dcd94ba266553d:0x82b18897dc58e941?authuser=-1&hl=en&gl=us,Bakery
La Farfalla Bakery,"La Farfalla Bakery, 39055 Cedar Blvd #182, Newark, CA 94560",37.5232278,-122.0078607,Bakery,3.5,18,low,closed_temp,https://www.google.com/maps/place//data=!4m2!3m1!1s0x808fbf4f123a9263:0x6ccf45242ea2ab9f?authuser=-1&hl=en&gl=us,Bakery
Daily Donuts Croissants,"Daily Donuts Croissants, Los Angeles, CA 90003",33.9603683,-118.2691424,Bakery,5.0,4,low,permanently_closed,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2c9bde9fcf4d1:0xdda61f0016dfcc5a?authuser=-1&hl=en&gl=us,Bakery
Mi Little Oaxaca Bakery & Cafe,"Mi Little Oaxaca Bakery & Cafe, 3943 Walnut Dr A, Eureka, CA 95503",40.7709465,-124.1425934,Bakery,4.9,18,low,open,https://www.google.com/maps/place//data=!4m2!3m1!1s0x54d3ff99c45c3239:0xb16a1d93addaa2e1?authuser=-1&hl=en&gl=us,Bakery
Bares Bakery,"Bares Bakery, 205 S Mednik Ave, Los Angeles, CA 90022",34.0351297,-118.1620656,Bakery,5.0,2,low,open,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2cf7835147ee1:0xd299d1193c3dc980?authuser=-1&hl=en&gl=us,Bakery
GFheaven,"GFheaven, La Place Ln, Brownsville, CA 95919",39.3842273,-121.2472203,Bakery,5.0,1,low,unknown,https://www.google.com/maps/place//data=!4m2!3m1!1s0x809c9fb13beb4405:0x6b1ef09b7c3bd5ff?authuser=-1&hl=en&gl=us,Bakery
Brenda's Sweet Treats,"Brenda's Sweet Treats, 9910 Rosedale Hwy D, Bakersfield, CA 93312",35.383769099999995,-119.1122499,Bakery,4.2,5,low,closed_temp,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80ea43628df4b0e3:0xcd2a9d1c6c0fad6d?authuser=-1&hl=en&gl=us,Bakery
Menchie's Frozen Yogurt,"Menchie's Frozen Yogurt, 4776 Commons Way Ste D, Calabasas, CA 91302",34.155117,-118.643036,"Frozen yogurt shop, Bakery, Cake shop, Caterer, Dessert restaurant, Dessert shop, Ice cream shop, Kosher restaurant",3.3,18,low,closed_temp,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c29e69694c6809:0x7703b01cbb331c51?authuser=-1&hl=en&gl=us,Frozen yogurt shop
Scandia Bakery & Coffee Shop,"Scandia Bakery & Coffee Shop, 248 Forest Ave, Laguna Beach, CA 92651",33.5429479,-117.7830084,Bakery,3.3,4,low,unknown,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80dce5b55c5d9b41:0xd06c6f49a97b48dd?authuser=-1&hl=en&gl=us,Bakery
Kayla's Cake Brea Mall,"Kayla's Cake Brea Mall, 1065 Brea Mall, Brea, CA 92821",33.9153422,-117.8864509,"Bakery, Dessert shop",4.5,8,low,open,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80dcd5042565798f:0xbb440a8360a68f29?authuser=-1&hl=en&gl=us,Bakery
Mochinut,"Mochinut, 4800 Irvine Blvd, Irvine, CA 92620",33.7122812,-117.7606188,Bakery,3.9,8,low,permanently_closed,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80dcdd151755381b:0x692d1c6853183c40?authuser=-1&hl=en&gl=us,Bakery
Icing on the Cupcake,"Icing on the Cupcake, 1121 Alhambra Blvd, Sacramento, CA 95816",38.5711232,-121.4655757,Bakery,4.8,5,low,permanently_closed,https://www.google.com/maps/place//data=!4m2!3m1!1s0x809ad094f4099d43:0x7032e2500fa35c34?authuser=-1&hl=en&gl=us,Bakery
Sugar & Spice Specialty Desserts,"Sugar & Spice Specialty Desserts, 1201 F St, Sacramento, CA 95814",38.5840332,-121.488662,"Bakery, Dessert shop, Wedding bakery",4.0,1,low,permanently_closed,https://www.google.com/maps/place//data=!4m2!3m1!1s0x809ad0d5a9947c6f:0x2c81772ccd7d8c67?authuser=-1&hl=en&gl=us,Bakery
Room For Dessert,"Room For Dessert, 420 Pacific St, Monterey, CA 93940",36.5997876,-121.8961269,Bakery,4.1,8,low,closed_temp,https://www.google.com/maps/place//data=!4m2!3m1!1s0x808de4235c2ba513:0x2bbe4a7f43355430?authuser=-1&hl=en&gl=us,Bakery
Cass St. Cafe Bakery,"Cass St. Cafe Bakery, 5550 La Jolla Blvd, La Jolla, CA 92037",32.813228599999995,-117.269369,Bakery,3.0,2,low,unknown,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80dc022ac33e04b5:0x3b4bb425a38d7616?authuser=-1&hl=en&gl=us,Bakery
Auntie Anne's,"Auntie Anne's, 2792 Livermore Outlets Dr, Livermore, CA 94551",37.698363,-121.8464404,"Pretzel store, Bakery, Cafe, Restaurant",2.9,13,low,open,https://www.google.com/maps/place//data=!4m2!3m1!1s0x808fe79f0aaf495d:0xdc531d5b310d6284?authuser=-1&hl=en&gl=us,Pretzel store
Penelope's Perfections,"Penelope's Perfections, 2952 Randolph Av Ste. A, Costa Mesa, CA 92626",33.678489,-117.8875901,Wedding bakery,4.9,27,low,open,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80dcdfa808f30921:0x183637d5fa8cde20?authuser=-1&hl=en&gl=us,Wedding bakery
Cafe Caxaca Panaderia,"Cafe Caxaca Panaderia, Clovis, CA 93612",36.816116,-119.7009171,Bakery,4.5,2,low,unknown,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80945c7ec219bc1d:0xc7267641ae5cbef7?authuser=-1&hl=en&gl=us,Bakery
Bakers Delight,"Bakers Delight, 5111 College Oak Dr # D, Sacramento, CA 95841",38.6594175,-121.3510227,Bakery,4.7,27,low,permanently_closed,https://www.google.com/maps/place//data=!4m2!3m1!1s0x809aded39dc5f319:0x5c8004ab48848ada?authuser=-1&hl=en&gl=us,Bakery
Hansen's Cakes,"Hansen's Cakes, 193 S Beverly Dr, Beverly Hills, CA 90212",34.0651752,-118.3992588,Bakery,3.7,18,medium,permanently_closed,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2bbf95403dd93:0xe2078bbdcb01a885?authuser=-1&hl=en&gl=us,Bakery
Tasteful Cakes Inc,"Tasteful Cakes Inc, 265 E Ontario Ave #104, Corona, CA 92879",33.856894,-117.5683234,"Bakery, Cake shop, Wedding bakery, Wholesale bakery",4.3,48,medium,closed_temp,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80dcc7e691b9fa63:0x185cc3c44a6ee497?authuser=-1&hl=en&gl=us,Bakery
Nina’s Foods Distibution,"Nina’s Foods Distibution, 500 S Rockefeller Ave, Ontario, CA 91761",34.0596198,-117.555334,Bakery,3.0,3,low,open,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c335cd9998fe07:0x8da386c7b210ae32?authuser=-1&hl=en&gl=us,Bakery
Cinco De Mayo Bakery,"Cinco De Mayo Bakery, 10064 Mills Ave, Whittier, CA 90604",33.9415286,-118.0286014,"Bakery, Tamale shop",3.3,15,low,open,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2d365e64767c1:0x128f4505363e4df4?authuser=-1&hl=en&gl=us,Bakery
Polkatots Cupcakes,"Polkatots Cupcakes, 720 N Lake Ave Suite 3, Pasadena, CA 91104",34.1583573,-118.1320351,"Cupcake shop, Bakery, Cake shop, Candy store, Dessert shop, Wedding bakery",4.2,48,low,open,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2c33f726b971d:0xd640afa885af0eea?authuser=-1&hl=en&gl=us,Cupcake shop
Champagne French Bakery Café National,"Champagne French Bakery Café National, 11709 National Blvd, Los Angeles, CA 90064",34.02266,-118.439092,"Cafe, Bakery, Brunch restaurant, Caterer, Dessert restaurant",3.8,25,medium,permanently_closed,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2bbaa7384f4af:0x5ad95a898fdfb4fc?authuser=-1&hl=en&gl=us,Cafe
Something Sweet,"Something Sweet, 440 C St, Galt, CA 95632",38.252294,-121.304727,Wedding bakery,4.6,26,low,closed_temp,https://www.google.com/maps/place//data=!4m2!3m1!1s0x809aa2d70b69dc5f:0xe759d62bb1626c6?authuser=-1&hl=en&gl=us,Wedding bakery
Cako Bakery,"Cako Bakery, 135 4th St, San Francisco, CA 94103",37.7843413,-122.4034851,Bakery,3.3,38,low,closed_temp,https://www.google.com/maps/place//data=!4m2!3m1!1s0x808580866d9cc219:0x54658941870afe77?authuser=-1&hl=en&gl=us,Bakery
B Sweet Catering,"B Sweet Catering, 3380 S Robertson Blvd, Los Angeles, CA 90034",34.029129399999995,-118.3908159,"Catering food and drink supplier, Bakery, Food and beverage consultant, Food manufacturer",4.8,4,low,unknown,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2b9805a5f489d:0x52c16b160e7e5698?authuser=-1&hl=en&gl=us,Catering food and drink supplier
Ben & Jerry's,"Ben & Jerry's, 3000 Mall View Rd #1107, Bakersfield, CA 93306",35.3948058,-118.959969,"Ice cream shop, Bakery, Candy store, Caterer",4.8,4,medium,unknown,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80ea69516efa1a73:0x6aed4d8661b9fedc?authuser=-1&hl=en&gl=us,Ice cream shop
Menchie's Frozen Yogurt,"Menchie's Frozen Yogurt, 943 Avenida Pico Bldg 5, San Clemente, CA 92673",33.45492,-117.607124,"Frozen yogurt shop, Bakery, Cake shop, Caterer, Dessert restaurant, Dessert shop, Ice cream shop, Kosher restaurant",4.3,17,low,open,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80dcf39a6e33db1b:0x351fd1b6f20554bd?authuser=-1&hl=en&gl=us,Frozen yogurt shop
Boutique Crenn,"Boutique Crenn, 425 Mission St, San Francisco, CA 94105",37.7898253,-122.3964531,Bakery,4.5,6,low,closed_temp,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80858110e3c9161d:0x32751b804b839de3?authuser=-1&hl=en&gl=us,Bakery
Nothing Bundt Cakes,"Nothing Bundt Cakes, 47 Tamal Vista Blvd Suite G, Corte Madera, CA 94925",37.9333924,-122.5175183,"Bakery, Cake shop",4.7,35,medium,open,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80859a61b2d1ddc3:0x8b949232a739b603?authuser=-1&hl=en&gl=us,Bakery
7-Eleven - Closed,"7-Eleven - Closed, 2530 Otay Center Dr, San Diego, CA 92154",32.5539962,-116.9413174,"Convenience store, Bakery, Beer store, Candy store, Coffee shop, Food products supplier, Gas station, Snack bar, Tobacco shop, Wine store",4.6,8,low,unknown,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80d947ab08e52447:0x8ec7d617a986b50b?authuser=-1&hl=en&gl=us,Convenience store
Lori's Custom Cakes,unknown address,32.74306,-117.1838933,"Bakery, Cake shop, Dessert shop, Service establishment",4.7,18,low,closed_temp,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80deaa322f147309:0x4ed60100eb9612ea?authuser=-1&hl=en&gl=us,Bakery
Traditional Baking Inc,"Traditional Baking Inc, 2575 S Willow Ave, Bloomington, CA 92316",34.054612,-117.37395,"Bakery, Manufacturer",4.0,18,low,closed_temp,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80dcb297f8975583:0x97efa7c010e01ab5?authuser=-1&hl=en&gl=us,Bakery
PK Deli & Bakery,"PK Deli & Bakery, 219 N Court St, Visalia, CA 93291",36.3316187,-119.2925883,"Deli, Bakery, Market, Mediterranean restaurant",5.0,1,low,closed_temp,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80952f80210b9439:0x1e1bff333e19c298?authuser=-1&hl=en&gl=us,Deli
Flour Girl Wedding Cakes,"Flour Girl Wedding Cakes, 2093 James Ave, South Lake Tahoe, CA 96150",38.9160409,-120.0020979,Wedding bakery,4.8,18,low,closed_temp,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80998fe74d7e26c7:0xe39d9aa779109399?authuser=-1&hl=en&gl=us,Wedding bakery
West Coast Pretzels,"West Coast Pretzels, 7617 Vineland Ave, Sun Valley, CA 91352",34.2089423,-118.3707796,"Pretzel store, Bakery, Fast food restaurant",4.9,28,low,closed_temp,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2bfa7fae4c6f9:0xf6d9c68a62ef3d5f?authuser=-1&hl=en&gl=us,Pretzel store
La Mexicana Bakery,"La Mexicana Bakery, 3626 East Cesar E Chavez Avenue, Los Angeles, CA 90063",34.0403991,-118.1860777,Bakery,3.8,13,low,closed_temp,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2cf5f7229fd61:0xfbb6bb53b0e981da?authuser=-1&hl=en&gl=us,Bakery
Honey Hani,"Honey Hani, 92064 Pomerado Rd, Poway, CA 92064",32.981219,-117.0610636,Bakery,4.0,4,low,permanently_closed,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80dbfbc098bd2ecb:0xcc647fa2a8b220eb?authuser=-1&hl=en&gl=us,Bakery
Sweet Yoli Bakery,"Sweet Yoli Bakery, 1030 San Fernando Rd, San Fernando, CA 91340",34.2824588,-118.4413589,Bakery,4.6,7,low,permanently_closed,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c29108a53d2633:0xbfff25b55a44ee74?authuser=-1&hl=en&gl=us,Bakery
Le Croissant Shop,"Le Croissant Shop, 354 Umbarger Rd # 7, San Jose, CA 95111",37.298093,-121.8457197,Wholesale bakery,4.4,7,low,closed_temp,https://www.google.com/maps/place//data=!4m2!3m1!1s0x808e32f9c2894835:0x2db91de78b2e39f2?authuser=-1&hl=en&gl=us,Wholesale bakery
